sha,message,pr_id,repo_url,commit_url,Incomplete or Inadequate Code Documentation​,Bad Identifier​,"Complex, Long, or Inadequate Logic​",Unnecessary Code​,Inconsistent or Disrupted Formatting​,"Wrong, Missing, or Inadequate String Expression or Literal​",Inadequate Logging and Monitoring​,Missing Constant Usage​,Memo,,0
56e2550768424947b8ecc78ccc4e2a017e4e180b,Rename absolute rule tags for clarity,3146127639,https://api.github.com/repos/Nikduke/FS,https://github.com/Nikduke/FS/commit/56e2550768424947b8ecc78ccc4e2a017e4e180b,,o,,,,,,,,,
b4428a75dd7c2ba62b4a7b63215eb6d89f0c8839,"refactor(extractors): use pep695 generics

- Parameterize `BaseExtractor` with a PEP 695 style type variable `T`
- Replace `Any` return type in `extract` with generic `T`
- Update `DummyExtractor` and tests to use concrete type `str`
- Replace loose `Any` usage in test mocks with more appropriate types
  like `object` and `dict[str, str]`
- Improve type clarity and prepare codebase for stricter static analysis",3146398683,https://api.github.com/repos/peppapig450/TikTokSlideshow-Downloader,https://github.com/peppapig450/TikTokSlideshow-Downloader/commit/b4428a75dd7c2ba62b4a7b63215eb6d89f0c8839,,o,,,,,,,,,
22907851fef89b1fac47632c6a03d500fc58add3,"feat ✨: Enhance commit message with detailed context

This commit update the commit message to provide a more detailed explanation of the changes made in the `cli.py`, `client.py`, `config.py`, and `utils.py` files. The new message includes a description of the changes, their type (feat), and the related commits for reference. This enhancement improves readability and helps future contributors quickly understand the scope and impact of these changes.",3151242918,https://api.github.com/repos/beecave-homelab/cloudflare-browser-rendering-cli,https://github.com/beecave-homelab/cloudflare-browser-rendering-cli/commit/22907851fef89b1fac47632c6a03d500fc58add3,,,,,o,,,,,,
3aaa6d008e6f0fd185e87f98a6d2126962c609c8,"Refactor config comments for better readability and line wrapping

Co-authored-by: zohair.ul.hasan <zohair.ul.hasan@gmail.com>",3202932829,https://api.github.com/repos/Zohair-coder/drexel-scraper,https://github.com/Zohair-coder/drexel-scraper/commit/3aaa6d008e6f0fd185e87f98a6d2126962c609c8,,,,,o,,,,,,
da23af6a509eb331f11d5a11e9611ca279c8c7b0,"fix(symlink): 🛠️ improve docset symlink handling

- rename variable to adjusted_path for clarity\n- add regression test for symlinked DocSets path\n- bump version to 1.2.8 and update documentation",3128657262,https://api.github.com/repos/joshuadanpeterson/enhanced-dash-mcp,https://github.com/joshuadanpeterson/enhanced-dash-mcp/commit/da23af6a509eb331f11d5a11e9611ca279c8c7b0,o,o,,,,,,,,,
b85c85af97322e30427ca286c5541d98fddb7cf1,"refactor: update seed command to remove unused prompt descriptions and adjust email handling

- Removed descriptions from LLMPrompt entries to streamline prompt creation.
- Updated comments to reflect changes in promotional email handling, clarifying the removal of the third email option.
- Enhanced code clarity and maintainability in the seed command.",3127947179,https://api.github.com/repos/surp-hovhannes/bahk,https://github.com/surp-hovhannes/bahk/commit/b85c85af97322e30427ca286c5541d98fddb7cf1,o,,,,,,,,,,
5e258bd04de870da22cc12348d48aa2a9e748502,Refactor tokenizer for clarity,3146342206,https://api.github.com/repos/gevahaviv1/Nand2Tetris-EX11,https://github.com/gevahaviv1/Nand2Tetris-EX11/commit/5e258bd04de870da22cc12348d48aa2a9e748502,,o,o,,,,,,,,
c23dd8ebc6e8ae4ce18e3fa9706059e277ba5748,"foundation/light-layout/beam-geometry/_: fix extent-segment calculation math

Corrects vertex indexing and variable naming for bisector calculations:
- Fixed port/starboard lateral vertex indices (vertices[3]/vertices[1])
- Corrected bisector line assignments with close_bisector_line array
- Improved variable naming for clarity (beamport/beamstarboard prefixes)
- Moved bisector line pre-computation outside inner loop for efficiency
- Adjusted validation beam counts for better visual testing

Still in-progress: mixed extent handling needs refinement for beams where
different extents are closer on port vs starboard sides (5-sided polygons).

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>",3253745291,https://api.github.com/repos/rossry/luminary,https://github.com/rossry/luminary/commit/c23dd8ebc6e8ae4ce18e3fa9706059e277ba5748,,o,o,,,,,,,,
a567948548e3b99adec51c9f58ac39f1941e8987,"refactor: comprehensive code restructuring for improved maintainability

## Summary
- Eliminated 15+ auto_feature_*.py files into clean feature modules
- Split 800+ line routes.py into domain-specific modules
- Simplified configuration management with fallback support
- Improved code organization, readability, and maintainability

## Key Changes
- ✅ Created src/features/ for business logic consolidation
- ✅ Created src/api/routes/ for modular API endpoints
- ✅ Added settings_simple.py for better dependency management
- ✅ 100% structure validation test pass rate
- ✅ Preserved all existing functionality and API compatibility

## Benefits
- Better separation of concerns
- Easier to add new features and routes
- Reduced coupling and circular dependencies
- Test-friendly modular architecture
- Human-readable code organization

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>",3245976075,https://api.github.com/repos/takezou621/repairgpt,https://github.com/takezou621/repairgpt/commit/a567948548e3b99adec51c9f58ac39f1941e8987,,,o,,,,,,,,
a1141d950f4c0fcf028dfd591cb189e03d38e233,"refactor: rename chain_dag → chain_let throughout codebase

- Rename chain_dag.py → chain_let.py
- Update chain_dag_impl → chain_let_impl
- Rename test files and update all references
- Update comments and documentation
- Maintain backward compatibility in wire protocol

This change improves semantic clarity as 'let' better represents
the binding functionality than 'dag' (directed acyclic graph).",3262310380,https://api.github.com/repos/graphistry/pygraphistry,https://github.com/graphistry/pygraphistry/commit/a1141d950f4c0fcf028dfd591cb189e03d38e233,o,o,,,,,,,,,
